I1219 15:51:03.800019       1 selector_spreading.go:146] green-k8s-test-65bb774986-72j7l -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 15:51:03.800032       1 selector_spreading.go:146] green-k8s-test-65bb774986-72j7l -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (3)
I1219 15:51:03.800038       1 selector_spreading.go:146] green-k8s-test-65bb774986-72j7l -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 15:51:03.800044       1 selector_spreading.go:146] green-k8s-test-65bb774986-72j7l -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 15:51:03.800057       1 generic_scheduler.go:773] green-k8s-test-65bb774986-72j7l_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 15:51:03.800063       1 generic_scheduler.go:773] green-k8s-test-65bb774986-72j7l_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (3)
I1219 15:51:03.800069       1 generic_scheduler.go:773] green-k8s-test-65bb774986-72j7l_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 15:51:03.800074       1 generic_scheduler.go:773] green-k8s-test-65bb774986-72j7l_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 15:51:03.800096       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 14
I1219 15:51:03.800107       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 19
I1219 15:51:03.800113       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 16
I1219 15:51:03.801138       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 14
I1219 15:51:03.801198       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-72j7l", node "ip-172-20-45-201.ec2.internal"
I1219 15:51:03.801212       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-72j7l", node "ip-172-20-45-201.ec2.internal": all PVCs bound and nothing to do
I1219 15:51:03.801287       1 factory.go:610] Attempting to bind green-k8s-test-65bb774986-72j7l to ip-172-20-45-201.ec2.internal

### Pod 5 ###

I1219 15:55:35.484081       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1219 15:55:36.507612       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-d2d9r
I1219 15:55:36.511999       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-d2d9r
I1219 15:55:36.512481       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-d2d9r on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1219 15:55:36.512598       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1219 15:55:36.512694       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-d2d9r on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 15:55:36.512921       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-d2d9r on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1219 15:55:36.513106       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-d2d9r on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1219 15:55:36.515042       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-d2d9r on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 4 out of 110 Pods.
I1219 15:55:36.521494       1 resource_allocation.go:84] green-k8s-test-65bb774986-d2d9r -> ip-172-20-58-134.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 8,
I1219 15:55:36.523111       1 resource_allocation.go:84] green-k8s-test-65bb774986-d2d9r -> ip-172-20-58-134.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 5,
I1219 15:55:36.521807       1 resource_allocation.go:84] green-k8s-test-65bb774986-d2d9r -> ip-172-20-45-201.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 8,
I1219 15:55:36.523446       1 resource_allocation.go:84] green-k8s-test-65bb774986-d2d9r -> ip-172-20-45-201.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:500 memory:702545920] ,score 5,
I1219 15:55:36.521837       1 resource_allocation.go:84] green-k8s-test-65bb774986-d2d9r -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 9,
I1219 15:55:36.523876       1 resource_allocation.go:84] green-k8s-test-65bb774986-d2d9r -> ip-172-20-49-41.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:400 memory:629145600] ,score 6,
I1219 15:55:36.521858       1 resource_allocation.go:84] green-k8s-test-65bb774986-d2d9r -> ip-172-20-61-178.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:520 memory:849346560] ,score 9,
I1219 15:55:36.524087       1 resource_allocation.go:84] green-k8s-test-65bb774986-d2d9r -> ip-172-20-61-178.ec2.internal: LeastResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:520 memory:849346560] ,score 4,
I1219 15:55:36.524255       1 selector_spreading.go:146] green-k8s-test-65bb774986-d2d9r -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 15:55:36.524377       1 selector_spreading.go:146] green-k8s-test-65bb774986-d2d9r -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 15:55:36.524465       1 selector_spreading.go:146] green-k8s-test-65bb774986-d2d9r -> ip-172-20-49-41.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 15:55:36.524600       1 selector_spreading.go:146] green-k8s-test-65bb774986-d2d9r -> ip-172-20-61-178.ec2.internal: SelectorSpreadPriority, Score: (0)
I1219 15:55:36.524725       1 generic_scheduler.go:773] green-k8s-test-65bb774986-d2d9r_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 15:55:36.525142       1 generic_scheduler.go:773] green-k8s-test-65bb774986-d2d9r_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 15:55:36.525450       1 generic_scheduler.go:773] green-k8s-test-65bb774986-d2d9r_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 15:55:36.525695       1 generic_scheduler.go:773] green-k8s-test-65bb774986-d2d9r_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (0)
I1219 15:55:36.525985       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 14
