I1221 21:22:29.059341       1 selector_spreading.go:146] green-k8s-test-65bb774986-jfkvt -> ip-172-20-58-134.ec2.internal: SelectorSpreadPriority, Score: (10)
I1221 21:22:29.059448       1 selector_spreading.go:146] green-k8s-test-65bb774986-jfkvt -> ip-172-20-45-201.ec2.internal: SelectorSpreadPriority, Score: (10)
I1221 21:22:29.059521       1 generic_scheduler.go:773] green-k8s-test-65bb774986-jfkvt_default -> ip-172-20-49-41.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1221 21:22:29.059945       1 generic_scheduler.go:773] green-k8s-test-65bb774986-jfkvt_default -> ip-172-20-61-178.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1221 21:22:29.060047       1 generic_scheduler.go:773] green-k8s-test-65bb774986-jfkvt_default -> ip-172-20-58-134.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1221 21:22:29.060173       1 generic_scheduler.go:773] green-k8s-test-65bb774986-jfkvt_default -> ip-172-20-45-201.ec2.internal: ServiceSpreadingPriority, Score: (10)
I1221 21:22:29.096086       1 generic_scheduler.go:822] green-k8s-test-65bb774986-jfkvt_default -> ip-172-20-49-41.ec2.internal: http://localhost:80, Score: (10)
I1221 21:22:29.096113       1 generic_scheduler.go:822] green-k8s-test-65bb774986-jfkvt_default -> ip-172-20-61-178.ec2.internal: http://localhost:80, Score: (9)
I1221 21:22:29.096132       1 generic_scheduler.go:822] green-k8s-test-65bb774986-jfkvt_default -> ip-172-20-58-134.ec2.internal: http://localhost:80, Score: (2)
I1221 21:22:29.096138       1 generic_scheduler.go:822] green-k8s-test-65bb774986-jfkvt_default -> ip-172-20-45-201.ec2.internal: http://localhost:80, Score: (0)
I1221 21:22:29.096155       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 36
I1221 21:22:29.096168       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 35
I1221 21:22:29.096174       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 26
I1221 21:22:29.096180       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 26
I1221 21:22:29.096266       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-jfkvt", node "ip-172-20-49-41.ec2.internal"
I1221 21:22:29.096289       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-jfkvt", node "ip-172-20-49-41.ec2.internal": all PVCs bound and nothing to do
I1221 21:22:29.096337       1 factory.go:610] Attempting to bind green-k8s-test-65bb774986-jfkvt to ip-172-20-49-41.ec2.internal

I1221 21:31:27.908054       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1221 21:31:29.738274       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-p2fpf
I1221 21:31:29.739056       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-p2fpf
I1221 21:31:29.739331       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1221 21:31:29.739509       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-p2fpf on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1221 21:31:29.739587       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-p2fpf on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1221 21:31:29.739623       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-p2fpf on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
